,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,1,0,1,1,0,0,1,1
1,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,0,0,0,0,1,1,1,0,0,0
3,0,1,0,1,1,1,1,1,0,0,0,0
4,0,0,1,0,0,1,0,0,0,1,1,0
5,1,1,1,0,1,1,1,0,0,1,1,1
6,0,1,1,1,0,1,1,0,0,1,0,1
7,0,0,1,1,0,0,1,0,1,1,1,0
8,1,0,0,0,0,0,0,1,1,1,1,1
9,1,0,1,0,1,0,0,1,0,1,0,1
10,1,1,0,1,0,0,1,0,0,1,0,0
11,0,1,0,0,0,0,1,1,1,1,0,0
12,1,1,1,1,0,0,0,1,0,1,0,0
13,0,1,1,0,1,1,0,1,0,0,0,1
14,1,0,0,1,0,0,0,0,0,1,0,1
15,1,1,1,0,0,1,1,1,1,1,0,0
16,1,1,0,1,1,1,1,1,1,1,0,1
17,0,1,0,1,0,1,1,1,0,0,1,0
18,1,0,1,0,1,0,0,0,1,0,0,1
19,0,1,1,0,1,1,0,0,1,0,1,1
20,0,0,1,1,1,0,1,1,0,0,1,0
21,0,1,0,1,0,0,0,1,1,0,1,0
22,0,0,1,0,0,1,1,1,0,1,1,0
23,1,0,1,1,1,1,1,0,0,1,0,0
24,0,0,0,0,1,0,0,0,0,0,0,1
25,1,1,0,1,0,0,0,0,1,0,0,1
26,1,0,0,1,1,0,0,1,0,0,0,1
27,1,1,0,0,0,0,1,1,1,0,1,0
28,0,0,1,1,1,1,1,1,0,0,1,0
29,1,0,0,0,1,0,1,0,0,0,0,0
30,1,1,0,1,1,1,1,1,1,1,1,1
31,1,0,0,1,0,1,1,1,1,0,1,0
32,0,0,1,1,1,0,0,0,1,0,1,1
33,1,1,1,1,1,0,0,0,1,1,1,1
34,0,1,1,1,0,0,0,0,1,0,0,0
35,0,1,0,1,0,0,1,1,0,1,1,0
36,0,1,0,1,1,0,1,0,1,0,0,1
37,0,1,0,1,0,0,0,1,0,0,0,0
38,1,1,0,0,1,0,1,0,0,1,1,1
39,0,0,1,0,1,0,1,1,1,0,0,0
40,0,1,1,0,0,1,0,0,1,0,1,1
41,0,0,0,0,1,1,0,1,0,1,0,1
42,1,0,0,1,0,0,0,0,1,0,1,0
43,1,0,1,0,1,0,0,1,0,1,1,0
44,1,1,1,0,0,0,0,1,0,0,0,0
45,0,1,1,1,0,0,1,0,1,1,1,0
46,1,1,1,1,1,1,1,1,0,0,0,0
47,1,1,0,0,1,0,1,1,1,0,0,1
48,1,0,1,0,0,1,0,0,1,0,0,1
49,1,0,1,0,0,0,0,1,0,0,1,1
